Time,x,y,z,
1.444,0.000234,-0.000419,-2.792e-05,
1.447,0.0002568,-0.0004564,-2.811e-05,
1.461,0.0003222,-0.0006001,-2.525e-05,
1.464,5.94e-05,-0.0003551,-1.393e-05,
1.478,6.426e-05,-0.000424,-1.597e-05,
1.483,6.504e-05,-0.0004667,-1.577e-05,
1.497,7.05e-05,-0.0005559,-1.625e-05,
1.5,7.834e-05,-0.0006001,-1.618e-05,
1.505,6.686e-05,-0.0006674,-6.949e-05,
1.507,8.59e-05,-0.0007169,-7.56e-05,
1.521,0.0001009,-0.0008289,-8.655e-05,
1.524,0.0001079,-0.0008873,-9.255e-05,
1.536,0.0001521,-0.0004933,-2.862e-05,
1.539,0.0001641,-0.0005219,-2.976e-05,
1.55,0.0001866,-0.0005818,-3.172e-05,
1.554,0.0002247,-0.000655,-3.314e-05,
1.566,-2.778e-05,-0.0006309,-4.323e-05,
1.57,-3.39e-05,-0.0006694,-4.574e-05,
1.582,-4.235e-05,-0.0007533,-5.048e-05,
1.586,-4.355e-05,-0.0007998,-5.269e-05,
1.597,1.873e-05,-0.0005359,4.616e-05,
1.601,1.914e-05,-0.0005714,5.086e-05,
1.612,2.109e-05,-0.0006473,6.046e-05,
1.616,2.114e-05,-0.0007301,7.043e-05,
1.627,5.664e-05,-0.0005178,4.737e-05,
1.631,7.336e-05,-0.0005446,4.977e-05,
1.643,9.798e-05,-0.0006112,5.473e-05,
1.647,0.0001335,-0.0006898,6e-05,
1.659,0.0001516,-0.0007331,6.273e-05,
1.663,8.584e-05,-0.0006631,-7.787e-05,
1.673,9.859e-05,-0.0007425,-9.418e-05,
1.677,0.0001042,-0.000785,-0.0001023,
1.692,0.0001146,-0.0008728,-0.0001187,
1.697,-0.0002237,-0.0007276,-6.774e-06,
1.706,-0.0002455,-0.00081,-1.025e-05,
1.711,-0.0002541,-0.0008561,-1.202e-05,
1.72,-0.0002724,-0.0009544,-1.552e-05,
1.725,-0.0002815,-0.001007,-1.728e-05,
1.735,-0.0001966,-0.0007393,7.095e-05,
1.74,-0.0002033,-0.000773,7.414e-05,
1.751,-0.0002097,-0.0008396,8.041e-05,
1.755,-0.000251,-0.0006904,2.046e-05,
1.767,-0.0002605,-0.0007513,1.442e-05,
1.77,-0.0002653,-0.0007848,1.13e-05,
1.781,-0.0002768,-0.0008566,1.095e-05,
1.785,-0.0005038,-0.0005813,7.481e-08,
1.796,-0.0005267,-0.000598,-5.499e-06,
1.799,-0.00055,-0.0006161,-1.178e-05,
1.811,-0.0005917,-0.0006625,-3.093e-05,
1.815,-0.0006124,-0.0006904,-4.152e-05,
1.828,-0.0004453,-0.0006627,6.975e-05,
1.831,-0.0004457,-0.0006898,6.472e-05,
1.842,-0.0004355,-0.0007616,4.679e-05,
1.845,-0.0004273,-0.0008029,3.6e-05,
1.858,-3.799e-05,-0.001249,-0.0003314,
1.861,-5.981e-06,-0.001313,-0.0003657,
1.872,5.749e-05,-0.001454,-0.0004371,
1.875,0.0001209,-0.001607,-0.000512,
1.888,-5.666e-05,-0.001269,-0.0001457,
1.892,-2.978e-05,-0.001322,-0.0001574,
1.903,1.036e-05,-0.001433,-0.0001832,
1.907,5.414e-05,-0.001562,-0.0002106,
1.919,7.399e-05,-0.00163,-0.000225,
1.924,-0.0004382,-0.0006669,-4.422e-05,
1.936,-0.0004583,-0.0006725,-4.917e-05,
1.951,-0.0005017,-0.0006928,-5.698e-05,
1.957,-0.0006044,-0.0005793,3.575e-05,
1.964,-0.0006181,-0.0005956,3.638e-05,
1.969,-0.0006307,-0.0006134,3.617e-05,
1.979,-0.0006588,-0.0006918,2.203e-05,
1.983,-0.0004342,-0.0006698,0.0001201,
1.996,-0.0004131,-0.0007092,0.0001211,
2.004,-0.0003963,-0.0007478,0.0001188,
2.014,-0.0003433,-0.0008844,0.0001069,
2.02,-0.0003262,-0.0009359,0.0001012,
2.026,-0.00029,-0.0007195,9.647e-05,
